title,address,bed,bath,toilet,pkn_space,price
5 bedroom semi-detached duplex for sale,Ajah,5,6,6,6.0,32990000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,4.0,215000000
2 bedroom house for sale,Lekki,2,2,3,,30000000
5 bedroom semi-detached duplex for sale,Ikeja,5,5,6,4.0,110000000
4 bedroom semi-detached duplex for sale,Ikeja,4,4,5,4.0,600000000
5 bedroom detached duplex for sale,Ikeja,5,5,7,4.0,250000000
3 bedroom terraced duplex for sale,Lekki,3,3,4,2.0,42000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,5.0,120000000
4 bedroom detached duplex for sale,Ikeja,4,4,5,3.0,110000000
2 bedroom house for sale,Lekki,2,2,3,,55000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,3.0,35000000
5 bedroom detached duplex for sale,Ikoyi,5,6,6,,520000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,5.0,120000000
4 bedroom detached duplex for sale,Ikeja,4,4,5,3.0,110000000
2 bedroom house for sale,Lekki,2,2,3,,55000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,3.0,35000000
5 bedroom detached duplex for sale,Ikoyi,5,6,6,,520000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,5.0,120000000
4 bedroom detached duplex for sale,Ikeja,4,4,5,3.0,110000000
2 bedroom house for sale,Lekki,2,2,3,,55000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,3.0,35000000
5 bedroom detached duplex for sale,Ikoyi,5,6,6,,520000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,5.0,120000000
4 bedroom detached duplex for sale,Ikeja,4,4,5,3.0,110000000
2 bedroom house for sale,Lekki,2,2,3,,55000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,3.0,35000000
5 bedroom detached duplex for sale,Ikoyi,5,6,6,,520000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,5.0,120000000
4 bedroom detached duplex for sale,Ikeja,4,4,5,3.0,110000000
2 bedroom house for sale,Lekki,2,2,3,,55000000
4 bedroom terraced duplex for sale,Lekki,4,4,5,3.0,35000000
5 bedroom detached duplex for sale,Ikoyi,5,6,6,,520000000
4 bedroom semi-detached duplex for sale,Ikoyi,4,4,5,4.0,220000000
5 bedroom terraced duplex for sale,Ikeja,5,5,6,,65000000
4 bedroom semi-detached duplex for sale,Lekki,4,4,5,2.0,73000000
